TYPE	SOURCE	INDEX	NAME	ECFORM	SIZE	PARAMETERS	
MIN	THCv9b0	_0435	Ca3B2O6	Ca(3)B(2)O(6)	1	-40.58	
MIN	THCv9b0	_0436	Ca4Al2O6(CrO4):15H2O	Al(2)Ca(4)Cr(1)O(25)H(30)	1	-71.36	
MIN	THCv9b0	_0437	Ca4Cl2(OH)6:13H2O	Ca(4)Cl(2)O(19)H(32)	1	-68.73	
MIN	THCv9b0	_0438	Ca4H(PO4)3:2.5H2O	Ca(400)P(300)O(1450)H(600)Div(100)	1	-11.81	
MIN	THCv9b0	_0439	Ca6(Al(OH)6)2(CrO4)3(H2O)26	Al(2)Ca(6)Cr(3)O(50)H(64)	1	-60.28	
MIN	THCv9b0	_0440	CaB2O4	Ca(1)B(2)O(4)	1	2.18	
MIN	THCv9b0	_0441	CaB4O7	Ca(1)B(4)O(7)	1	23.44	
MIN	THCv9b0	_0442	CaCO3(H2O)	Ca(1)C(1)O(4)H(2)	1	7.6	
MIN	THCv9b0	_0443	CaCl2(H2O)2	Ca(1)Cl(2)O(2)H(4)	1	-7.95	
MIN	THCv9b0	_0444	CaCl2(H2O)4	Ca(1)Cl(2)O(4)H(8)	1	-5.35	
MIN	THCv9b0	_0445	CaCl2(H2O)	Ca(1)Cl(2)O(1)H(2)	1	-7.85	
MIN	THCv9b0	_0446	CaCrO4	Ca(1)Cr(1)O(4)	1	3.15	
MIN	THCv9b0	_0447	CaF2(H2O)6	Ca(1)F(2)O(6)H(12)	1	5.48	
MIN	THCv9b0	_0448	CaFe2O4	Fe(2)Ca(1)O(4)	1	-4.27	
MIN	THCv9b0	_0449	CaMg3(CO3)4	Mg(3)Ca(1)C(4)O(12)	1	30.81	
MIN	THCv9b0	_0450	CaMoO4	Ca(1)Mo(1)O(4)	1	7.9	
MIN	THCv9b0	_0451	CaO	Ca(1)O(1)	1	-32.7	
MIN	THCv9b0	_0452	Calcite	Ca(1)C(1)O(3)	36.93	8.48	
MIN	THCv9b0	_0453	Carnallite	Mg(1)K(1)Cl(3)O(6)H(12)	1	-4.33	
MIN	THCv9b0	_0454	Celadonite-Fe	Si(4)Al(1)Fe(1)K(1)O(12)H(2)	143	-10.22	
MIN	THCv9b0	_0455	Celadonite-Mg	Si(4)Al(1)Mg(1)K(1)O(12)H(2)	139.6	-10.22	
MIN	THCv9b0	_0456	Celestite	S(1)Sr(1)O(4)	46.25	6.62	
MIN	THCv9b0	_0457	Cerussite	C(1)Pb(1)O(3)	1	13.29	
MIN	THCv9b0	_0458	Chabazite	Si(4)Al(2)Ca(1)O(18)H(12)	251.2	-11.54	
MIN	THCv9b0	_0459	Chamosite	Si(3)Al(2)Fe(5)O(18)H(8)	215.9	-47.6	
MIN	THCv9b0	_0460	Chloroapatite	Ca(5)Cl(1)P(3)O(12)	1	-5.21	
MIN	THCv9b0	_0461	Chromite	Fe(1)Cr(2)O(4)	1	3.15	
MIN	THCv9b0	_0462	Claudetite	As(2)O(3)	1	-4.46	
MIN	THCv9b0	_0463	Clinochlore	Si(3)Al(2)Mg(5)O(18)H(8)	211.5	-61.72	
MIN	THCv9b0	_0464	Clinoptilolite_Ca	Si(490)Al(110)Ca(55)O(1590)H(780)Div(100)	209.7	2.35	
MIN	THCv9b0	_0465	Clinoptilolite_K	Si(490)Al(110)K(110)O(1470)H(540)Div(100)	210.7	1.23	
MIN	THCv9b0	_0466	Clinoptilolite_Na	Si(490)Al(110)Na(110)O(1550)H(700)Div(100)	214.8	0.09	
MIN	THCv9b0	_0467	Corundum	Al(2)O(3)	1	-18.3	
MIN	THCv9b0	_0468	Cotunnite	Cl(2)Pb(1)	1	4.81	
MIN	THCv9b0	_0469	Cr(OH)2(H2PO4)	P(1)Cr(1)O(6)H(4)	1	8.245	
MIN	THCv9b0	_0470	Cr(OH)2	Cr(1)O(2)H(2)	1	-29.76	
MIN	THCv9b0	_0471	Cr(OH)3	Cr(1)O(3)H(3)	1	1.635	
MIN	THCv9b0	_0472	Cr	Cr(1)	1	-89.66	
MIN	THCv9b0	_0473	Cr2(SO4)3	S(3)Cr(2)O(12)	1	13.89	
MIN	THCv9b0	_0474	Cr2O3	Cr(2)O(3)	1	10.52	
MIN	THCv9b0	_0475	Cr2S3	S(3)Cr(2)	1	-399.8	
MIN	THCv9b0	_0476	CrCl2	Cl(2)Cr(1)	1	-31.49	
MIN	THCv9b0	_0477	CrCl3	Cl(3)Cr(1)	1	-11.06	
